Sexo;Raca;N_Instrucao;Idade_Cat;Total;Desocupados;Taxa
1;1;1;2;7;1;,142857142857143
1;1;1;3;6;1;,166666666666667
1;1;2;1;24;3;,125
1;1;2;2;76;13;,171052631578947
1;1;2;3;78;5;,0641025641025641
1;1;3;1;39;13;,333333333333333
1;1;3;2;65;14;,215384615384615
1;1;3;3;47;4;,0851063829787234
1;1;4;1;37;6;,162162162162162
1;1;4;2;106;26;,245283018867925
1;1;4;3;37;3;,0810810810810811
1;1;5;2;287;41;,142857142857143
1;1;5;3;182;8;,043956043956044
1;1;6;2;94;19;,202127659574468
1;1;6;3;58;11;,189655172413793
1;1;7;2;36;3;,0833333333333333
1;1;7;3;98;6;,0612244897959184
1;2;1;1;6;3;,5
1;2;1;2;16;5;,3125
1;2;1;3;9;1;,111111111111111
1;2;2;1;90;33;,366666666666667
1;2;2;2;205;49;,239024390243902
1;2;2;3;221;28;,126696832579186
1;2;3;1;68;24;,352941176470588
1;2;3;2;153;35;,228758169934641
1;2;3;3;111;9;,0810810810810811
1;2;4;1;72;26;,361111111111111
1;2;4;2;224;52;,232142857142857
1;2;4;3;84;11;,130952380952381
1;2;5;2;465;91;,195698924731183
1;2;5;3;295;35;,11864406779661
1;2;6;2;97;18;,185567010309278
1;2;6;3;53;9;,169811320754717
1;2;7;2;14;2;,142857142857143
1;2;7;3;71;5;,0704225352112676
2;1;2;1;9;3;,333333333333333
2;1;2;2;19;6;,315789473684211
2;1;2;3;36;6;,166666666666667
2;1;3;1;15;5;,333333333333333
2;1;3;2;25;11;,44
2;1;3;3;21;1;,0476190476190476
2;1;4;1;39;18;,461538461538462
2;1;4;2;47;15;,319148936170213
2;1;4;3;22;4;,181818181818182
2;1;5;1;3;1;,333333333333333
2;1;5;2;266;55;,206766917293233
2;1;5;3;146;17;,116438356164384
2;1;6;2;110;27;,245454545454545
2;1;6;3;45;6;,133333333333333
2;1;7;2;49;4;,0816326530612245
2;1;7;3;162;16;,0987654320987654
2;2;1;2;2;2;1
2;2;2;1;19;12;,631578947368421
2;2;2;2;63;23;,365079365079365
2;2;2;3;87;13;,149425287356322
2;2;3;1;49;26;,530612244897959
2;2;3;2;74;24;,324324324324324
2;2;3;3;59;7;,11864406779661
2;2;4;1;75;50;,666666666666667
2;2;4;2;133;52;,390977443609023
2;2;4;3;50;6;,12
2;2;5;1;4;3;,75
2;2;5;2;457;125;,273522975929978
2;2;5;3;291;43;,147766323024055
2;2;6;2;114;24;,210526315789474
2;2;6;3;46;13;,282608695652174
2;2;7;2;42;12;,285714285714286
2;2;7;3;129;20;,155038759689922
